
Best fit: 0	Avg fit: 0
Best fit: 15746.4	Avg fit: 2416.696
Best fit: 15746.4	Avg fit: 3206.184
Best fit: 15746.4	Avg fit: 3926.684
Best fit: 15746.4	Avg fit: 4272.996
Best fit: 15746.4	Avg fit: 4107.22399999999
Best fit: 15746.4	Avg fit: 4402.528
Best fit: 15746.4	Avg fit: 4367.708
Best fit: 15746.4	Avg fit: 4949.192
Best fit: 16686.4	Avg fit: 4854.352
Best fit: 15746.4	Avg fit: 3954.584
Best fit: 16232.6	Avg fit: 4464.684
Best fit: 15811.2	Avg fit: 4204.844
Best fit: 17595.2	Avg fit: 4534.572
Best fit: 15746.4	Avg fit: 4267.528
Best fit: 15746.4	Avg fit: 4560.224
Best fit: 15746.4	Avg fit: 4122.432
Best fit: 15746.4	Avg fit: 4374.032
Best fit: 15746.4	Avg fit: 4478.95599999999
Best fit: 15746.4	Avg fit: 4378.024
Best fit: 15746.4	Avg fit: 4217.928
Best fit: 15746.4	Avg fit: 4701.584
Best fit: 15746.4	Avg fit: 4735.396
Best fit: 15746.4	Avg fit: 4283.788
Best fit: 15746.4	Avg fit: 4351.412
Best fit: 15746.4	Avg fit: 4537.052
Best fit: 15746.4	Avg fit: 4792.156
Best fit: 15746.4	Avg fit: 4486.664
Best fit: 15746.4	Avg fit: 4787.912
Best fit: 15746.4	Avg fit: 4820.256
Best fit: 15746.4	Avg fit: 4136.75599999999
Best fit: 15746.4	Avg fit: 4299.188
Best fit: 15746.4	Avg fit: 4328.98
Best fit: 15746.4	Avg fit: 4531.956
Best fit: 15746.4	Avg fit: 4213.076
Best fit: 15746.4	Avg fit: 2148.556
Best fit: 15746.4	Avg fit: 2205.28
Best fit: 71.4	Avg fit: 4.148
Best fit: 10565.6	Avg fit: 358.288
Best fit: 6400	Avg fit: 554.016
Best fit: 104.2	Avg fit: 5.11200000000001
Best fit: 43.8	Avg fit: 5.832
Best fit: 220.8	Avg fit: 14.728
Best fit: 583.2	Avg fit: 44.896
Best fit: 783	Avg fit: 137.124
Best fit: 1220.8	Avg fit: 179.828
Best fit: 1912	Avg fit: 206.816
Best fit: 2700	Avg fit: 333.212
Best fit: 2700	Avg fit: 371.328
Best fit: 2700	Avg fit: 393.044
Best fit: 4731.6	Avg fit: 653.128
Best fit: 5165.2	Avg fit: 757.556
Best fit: 5782.6	Avg fit: 841.232
Best fit: 5619.2	Avg fit: 689.044
Best fit: 5782.6	Avg fit: 611.028
Best fit: 9120.4	Avg fit: 790.096
Best fit: 11181.8	Avg fit: 981.792
Best fit: 13317	Avg fit: 1318.932
Best fit: 12004.8	Avg fit: 1085.872
Best fit: 7263.2	Avg fit: 852.3
Best fit: 11116.8	Avg fit: 1166.468
Best fit: 12876.8	Avg fit: 1250.14
Best fit: 10182.2	Avg fit: 1370.352
Best fit: 17561.6	Avg fit: 1405.456
